"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","16","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","annotatedAttachmentTest","annotatedAttachmentTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","2","","io.qameta.allure.examples.JUnit5ParameterizedTest","","io.qameta.allure.examples.JUnit5ParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","33","","io.qameta.allure.examples.AllureNameTest","","io.qameta.allure.examples.AllureNameTest","dynamicNameTest","Test with parameter [dynamic parameter]",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","2","","io.qameta.allure.examples.AllureLinkTest","","io.qameta.allure.examples.AllureLinkTest","staticLinksTest","staticLinksTest()",""
"passed","Wed Mar 17 21:30:39 GMT 2021","Wed Mar 17 21:30:39 GMT 2021","0","","io.qameta.allure.examples.JUnit5ParameterizedTest","","io.qameta.allure.examples.JUnit5ParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Mike]","allureParameterizedTest description"
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","27","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Wed Mar 17 21:30:39 GMT 2021","Wed Mar 17 21:30:39 GMT 2021","1","","io.qameta.allure.examples.AllureDescriptionTest","","io.qameta.allure.examples.AllureDescriptionTest","annotationDescriptionTest","annotationDescriptionTest()","Static description"
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","1","","io.qameta.allure.examples.AllureLinkTest","","io.qameta.allure.examples.AllureLinkTest","staticLinkTest","staticLinkTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","4","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","dynamicAttachmentTest","dynamicAttachmentTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","4","","io.qameta.allure.examples.AllureLinkTest","","io.qameta.allure.examples.AllureLinkTest","dynamicLinkTest","dynamicLinkTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","3","","io.qameta.allure.examples.JUnit5FixtureTest","","io.qameta.allure.examples.JUnit5FixtureTest","allureFixtureTest","allureFixtureTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","2","","io.qameta.allure.examples.AllureNameTest","","io.qameta.allure.examples.AllureNameTest","annotationNameTest","Static name",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","10","","io.qameta.allure.examples.AllureLabelsTest","","io.qameta.allure.examples.AllureLabelsTest","commonDynamicLabelTest","commonDynamicLabelTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","3","","io.qameta.allure.examples.JUnit5QuickStartTest","","io.qameta.allure.examples.JUnit5QuickStartTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","2","","io.qameta.allure.examples.AllureLabelsTest","","io.qameta.allure.examples.AllureLabelsTest","customStaticLabelTest","customStaticLabelTest()",""
"passed","Wed Mar 17 21:30:39 GMT 2021","Wed Mar 17 21:30:39 GMT 2021","0","","io.qameta.allure.examples.AllureDescriptionTest","","io.qameta.allure.examples.AllureDescriptionTest","dynamicDescriptionTest","dynamicDescriptionTest()","Dynamic description"
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","8","","io.qameta.allure.examples.AllureLabelsTest","","io.qameta.allure.examples.AllureLabelsTest","commonStaticLabelTest","commonStaticLabelTest()",""
"passed","Wed Mar 17 21:30:39 GMT 2021","Wed Mar 17 21:30:39 GMT 2021","0","","io.qameta.allure.examples.AllureDescriptionTest","","io.qameta.allure.examples.AllureDescriptionTest","javadocDescriptionTest","javadocDescriptionTest()",""
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","7","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Wed Mar 17 21:30:39 GMT 2021","Wed Mar 17 21:30:39 GMT 2021","41","","io.qameta.allure.examples.JUnit5ParameterizedTest","","io.qameta.allure.examples.JUnit5ParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [John]","allureParameterizedTest description"
"passed","Wed Mar 17 21:30:38 GMT 2021","Wed Mar 17 21:30:38 GMT 2021","3","","io.qameta.allure.examples.AllureLabelsTest","","io.qameta.allure.examples.AllureLabelsTest","customDynamicLabelTest","customDynamicLabelTest()",""
